county,Party
Juba,SPLM
Kajo-keji,SPLM
Lainya,SPLM
Morobo,SPLM
Terekeka,SPLM
Yei,SPLM
Budi,SPLM
Ikotos,SPLM
Kapoeta East,SPLM
Kapoeta North,SPLM
Kapoeta South,SPLM
Lafon,SPLM
Magwi,SPLM
Torit,SPLM
Akobo,SSOA
Ayod,SSOA
Bor South,SSOA
Canal/Pigi,SSOA
Duk,SSOA
Fangak,SSOA
Nyirol,SSOA
Pibor,SPLM
Pochalla,SPLM
Twic East,SSOA
Uror,SSOA
Awerial,SPLM
Cueibet,SPLM
Rumbek Centre,SPLM
Rumbek East,SPLM
Rumbek North,SPLM
Wulu,SPLM
Yirol East,SPLM
Yirol West,SPLM
Aweil Centre,SPLM
Aweil East,SPLM
Aweil North,SPLM
Aweil South,SPLM
Aweil West,SPLM
Abiemnhom,SPLM
Guit,SPLM
Koch,SPLM
Leer,SPLM
Mayendit,SPLM
Mayom,SPLM
Panyijiar,SPLM
Pariang,SPLM
Rubkona,SPLM
Baliet,SPLM-IO
Fashoda,SPLM-IO
Longochuk,SPLM-IO
Luakpiny/Nasir,SPLM-IO
Maban,SPLM-IO
Maiwut,SPLM-IO
Malakal,SPLM-IO
Manyo,SPLM-IO
Melut,SPLM-IO
Panyikang,SPLM-IO
Renk,SPLM-IO
Ulang,SPLM-IO
Gogrial East,SPLM
Gogrial West,SPLM
Tonj East,SPLM
Tonj North,SPLM
Tonj South,SPLM
Twic,SPLM
Jur River,SPLM-IO
Raja,SPLM-IO
Wau,SPLM-IO
Ezo,SPLM-IO
Ibba,SPLM-IO
Maridi,SPLM-IO
Mundri East,SPLM-IO
Mundri West,SPLM-IO
Mvolo,SPLM-IO
Nagero,SPLM-IO
Nzara,SPLM-IO
Tambura,SPLM-IO
Yambio,SPLM-IO
Abyei Region,SPLM
